study_id,wage_b,wage_se,emp_b,emp_se,owe_b,owe_se,group,overall,source,averaged,owe_reported,heterogeneity,longer_run,notes,need to email authors,author_feedback
abc_2009_le,0.23943613707165112,0.0500316877781618,0.10833021806853584,0.10194412372162859,NA,NA,Retail,0,"Weighted average of wage and employment elasticities for three sectors with statistically positive wage effects: convenience stores; specialty food stores; beer, wine, and liquor stores. Elasticities from Table 4 (estimates with county-level trends). Weights are mean employment counts from Table 1.",1,0,NA,NA,See detailed calculations,NA,NA
abc_2012_bjir,0.171,0.035,-0.006,0.033,NA,NA,Restaurants,0,"Wage and employment elasticities from Table 3 (estimates with county-level trends). Authors write that ""specifications with trends are to be preferred"" (p.426).",0,0,NA,NA,NA,NA,NA
abc_2013_le,0.131,0.014,-0.011,0.016,NA,NA,Restaurants,0,"Earnings and employment elasticities from Table 2, row 1 (food and drinking places), ""county trends"" specifications. Authors prefer this specification over ""basic"" and ""border county"": ""our preference is to direclty model county-specific trends, and with this approach the estimates are quite precise"" (p.35). No reported wage effects for analysis using CPS or ACS, or for unemployment heterogeneity analysis.",0,0,NA,NA,NA,NA,NA
abc_2015_izajle,0.171,0.021,-0.043,0.023,NA,NA,Restaurants,0,"Employment and earnings elasticities for restaurant and bar sector using county-specific linear trends, because the authors select that specification as their ""preferred model"" on page 7, for the 1990-2014 period, which is the longest period in their sample. Employment elasticity from the top panel of Table 3, column ""1st"". Earnings elasticity from the top panel of Table 6, column ""1st"".",0,0,NA,NA,NA,NA,NA
adr_2011_ir,0.149,0.024,0.047,0.059368421052631584,NA,NA,Teens,0,"Wage and employment elasticities from Table 3, specification 4, row ""All teens"". Employment elasticity standard error calculated by scaling standard error of semi-elasticity by ratio of elasticity to semi-elasticity.",0,0,NA,NA,NA,NA,NA
adr_2019_wp,0.047,0.002,-0.011940298507462687,0.010447761194029851,NA,NA,Low wage incumbents,1,"Percent wage change from Table 5, row 1, specification 1. To calculate the percent employment change, we take the percentage point employment change from Table 7, row 1, specification 1 and divide it by the 0.67 treated group mean in 2015. These are the ""2015 as treatment year"" estimates, estimating the effect of the 2016 increase, as opposed to the ""2016 as treatment year"" estimates, which focus on the 2017 uprating.",0,0,NA,NA,NA,NA,NA
adrz_2017_ilrr,0.256,0.033,0.011,0.048,NA,NA,Teens,0,"Teen wage and employment elasticities from Table 1, specification 2 (linear trends), row ""Division-period FE"".",0,0,NA,NA,NA,NA,NA
an_2015_ir,0.17,0.034481879299133336,-0.004,0.11260994627474076,NA,NA,Restaurants,0,"Sum of the headline and tipped wage and employment elasticities to approximate the effect of a marginal increase in both the headline and tipped minimum wage. Wage and employment elasticities from Table 2, Panel A (Full service Restaurants), specification 4 (Division-period effects and state-specific time trends), adding the tipped and headline minimum effects together. Standard errors assume no covariance between the tipped and headline minimum wage effect estimates.",0,0,NA,NA,See detailed calculations,Using headline + tipped min wage... not sure that is right. Wage effect of tipped minimum marginally significant,NA
ahvmtw_2023_restud,NA,NA,NA,NA,0.08781043401248773,0.9246831051000021,Retail,0,"Weighted average of elasticities and their variances for the three mid-HHI occupation OWEs presented in Figure 7 (Stock Clerks, Retail Sales, and Cashiers), where the weights are the sample sizes from Table 3. Authors emailed the three OWEs coefficients and standard errors used in Figure 7.",1,1,NA,NA,See detailed calculations,NA,NA
bc_2020_ilrr,0.301,0.14,0.126,0.069,NA,NA,Ages 62-70,0,"The statistically significant earnings elasticity estimate is from Table 3, specification 5, Panel E. The analogous employment elasticity estimate is Table 3, specification 5, panel A.",0,0,NA,NA,NA,NA,NA
bcw_2000_jole,0.338,0.042,-0.204,0.05693023255813954,NA,NA,Teens,0,"Wage elasticity from Table 2, specification 1 (1979-1992, seasonal, state, and year effects). Employment elasticity from the ""controls for state-level autocorrelation and heteroskedasticity correction"" elasticity reported in Table 7, specification Table 3 (4) (1979-1992, seasonal, state, and year effects), where the semi-elasticity standard error is scaled by the ratio of the elasticity to semi-elasticity. Authors prefer models without year effects but our review is restricted to DD-style estimators as opposed to repeated time series, so we chose the year fixed effect estimate in paper that had statistically significant wage effects and a similar employment effect specification that seem to be preferred by author.",0,0,NA,NA,NA,NA,NA
bd_2023_lpc,0.042,0.013,0.019999999999999997,0.015384615384615384,NA,NA,All workers,1,"Wage percent change from Table 3, column 4. Employment percent change is the percentage point change in employment from Table 4, column 4, divided by the overall employment rate of 0.65 (see footnote 65).",0,0,NA,NA,NA,NA,NA
bds_2021_jole,NA,NA,NA,NA,-0.135,0.077,"Men, Ages 16-64",1,"Own-wage elasticity reported in Table 3, panel A (Employed during year), specification 3. Selected this particular estimate with authors over email.",0,1,NA,NA,NA,NA,NA
bg_2020_ilrr,NA,NA,NA,NA,-0.278,0.212,Low wage establishments,1,"Own-wage elasticity reported in Table 2, specification 3 (Derived labor demand elasticity), Panel B (Intensive treatment definition). Authors emailed to select this specification.",0,1,NA,NA,NA,NA,NA
bh_2023_wp,0.132,0.049,0.111,0.105,NA,NA,Child care workers,0,Earnings and employment elasticities reported in specification 1 (All) of Table 1.,0,0,NA,NA,NA,NA,NA
bw_2010_labour,0.11,NA,-0.05,NA,NA,NA,Low wage industries,1,"Unweighted median wage and employment elasticities of 16 industries that had significant wage effects, as calculated by authors on page 16, second paragraph from the bottom of the page.",1,0,NA,NA,NA,NA,NA
card_1992_ilrr_ca,0.1,0.02,0.13333333333333333,0.054761904761904755,NA,NA,Teens,0,"Estimates from ""Difference in Differences"" column of Table 4. Wage elasticity from row ""Mean Log Wage"". Employment semi-elasticity and standard error from row ""Employment rate (%)"" are divided by 42, the mean employment rate reported in the column California Teens, 1987.",0,0,NA,NA,NA,NA,NA
card_1992_ilrr_regional,NA,NA,NA,NA,0.35190615835777134,0.6158357771260998,Teens,0,"Own-wage semi-elasticity reported in Table 4, specification 5, scaled by the mean of teen employment rates in 1989 across all groups (0.455).",0,1,NA,NA,See detailed calculations,NA,NA
cdlz_2019_qje,NA,NA,NA,NA,0.411,0.43,Low wage jobs,1,"Own-wage elasticity reported in Table 1, specification 1, row ""Emp. elasticity w.r.t affected wage""",0,1,NA,NA,NA,NA,NA
cdlzm_2022_jole,NA,NA,NA,NA,0.114,0.216,High recall,1,"Own-wage elasticity reported in Table 2, specification 3 , row ""Employment elasticity with respect to wage"" (High recall, Boosted tree)",0,1,NA,NA,NA,NA,NA
cdp_2022_jpe,NA,NA,NA,NA,-0.219,NA,Retail,0,Own-wage elasticity reported on p. 2352 and footnote 43.,0,1,NA,NA,NA,NA,NA
cf_1996_jhr,0.213,0.069,-0.18969072164948453,0.032989690721649485,NA,NA,Young incumbents,0,"Employment elasticity uses semi-elasticity from table 2, specification 4 (Fixed Effects), divided by 0.97, the proportion employed in next year, 1987, from Table 1. Wage elasticity from Table 4, Panel B, specification 2 (Fixed Effects).",0,0,NA,NA,NA,DOES THIS NEED TO BE SCALED? is it a semi-elast? maybe scaling only 0.97 from Table 1 1987 excl missing? also wage effect is when dep var is change in log wage ?,NA
cgr_2006_ir,NA,NA,NA,NA,-0.548,0.359,Ages 16-24,0,"Own-wage elasticity reported in Table 4, panel ""Including prime-age skilled employment rate"", specification ""Youths 16-24 combined"".",0,1,NA,NA,NA,NA,NA
ckk_1994_ilrr,NA,NA,NA,NA,-0.04291845493562232,0.15021459227467812,Teens,0,"Own-wage semi-elasticity reported in Table 2, row 5, specification 2, divided by unweighted teen epop mean in footnote b (0.466).",0,1,NA,NA,NA,NA,NA
cs_2021_wp,NA,NA,NA,NA,-0.245,NA,"Ages 16-25, Less than High School, Ages 16-21",0,"Authors suggested simple average of own-wage elasticities reported in Table 10, specifications 1 (Low-Skill, All Changers) and 5 (Young, All Changers).",1,1,NA,NA,all changes,done,"email correspondence: average of all changes for estimates for a review that ""does not connect the estimates to recent or hypothetical policy proposals"" like larger changes"
